Study#,DOI,Title,Author,Year,Country,Sample_Size,Male_%,Female_%,White_%,Black_%,Hispanic_%,Asian_%,Other_%,Race_Cats,Has_Sex,Has_Any_Race,Has_All_5_Race,Design,Quality_Score,Data_Source
1,10.1007/s00198-009-1007-x,Population screening for osteoporosis risk: a randomised control trial of medication use and fracture risk.,R. J. Barr; A. Stewart; D. J. Torgerson; D. M. Reid,2010,usa,4800,,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
2,10.1177/0017896910364570,Health beliefs about osteoporosis and osteoporosis screening in older women and men,Smita Nayak; Mark S Roberts; Chung-Chou H Chang; Susan L Greenspan,2010,"usa, United States",664,,58.7,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
3,10.1016/S0140-6736(17)32640-5,Screening in the community to reduce fractures in older women (SCOOP): a randomised controlled trial.,Lee Shepstone; Elizabeth Lenaghan; Cyrus Cooper; Shane Clarke; Rebekah Fong-Soe-Khioe,2018,UK,6233,,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
4,10.1002/jbmr.372,The WHO Absolute Fracture Risk Models (FRAX): Do Clinical Risk Factors Improve Fracture Prediction in Older Women Without Osteoporosis?,Teresa A Hillier; Jane A Cauley; Joanne H Rizzo; Kathryn L Pedula; Kristine E Ensrud,2011,NOR,6252,,100.0,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
5,10.1002/jbmr.1476,Previous fractures at multiple sites increase the risk for subsequent fractures: The global longitudinal study of osteoporosis in women,Stephen Gehlbach; Kenneth G Saag; Jonathan D Adachi; Fred H Hooven; Julie Flahive,2012,USA,119000,,,,,,,,0,0,0,0,Cohort,50.0,PubMed Abstract
6,10.1001/jama.285.3.320,Risk of new vertebral fracture in the year following a fracture.,Robert Lindsay,2001,usa,28,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
7,10.1359/JBMR.050304,Predictive value of BMD for hip and other fractures.,Olof Johnell; John A Kanis; Anders Oden; Helena Johansson; Chris De Laet,2005,ITA,9891,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
8,10.1007/s11914-010-0022-3,Assessment of Individual Fracture Risk: FRAX and Beyond,Joop P. W. van den Bergh; Tineke A. C. M. van Geel; Willem F. Lems; Piet P. Geusens,2010,NLD,2012,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
9,10.1007/s00198-010-1461-5,Spine-hip discordance and fracture risk assessment: a physician-friendly FRAX enhancement.,W. D. Leslie; L. M. Lix; H. Johansson; A. Oden; E. McCloskey,2011,CAN,36368,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
10,10.1002/jbmr.1582,Does osteoporosis therapy invalidate FRAX for fracture prediction?,William D Leslie; Lisa M Lix; Helena Johansson; Anders Oden; Eugene McCloskey,2012,CAN,35764,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
11,10.1002/jbmr.5650070607,Axial and appendicular bone density predict fractures in older women.,Dennis M. Black; Steven R. Cummings; Harry K. Genant; Michael C. Nevitt; Lisa Palermo,1992,FRA,8134,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
12,10.1002/jbmr.1472,Relationship between bone mineral density changes with denosumab treatment and risk reduction for vertebral and nonvertebral fractures,Matthew Austin; Yu-Ching Yang; Eric Vittinghoff; Silvano Adami; Steven Boonen,2012,USA,7808,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
13,10.1016/j.bone.2015.05.016,Trabecular bone score (TBS) as a new complementary approach for osteoporosis evaluation in clinical practice,N.C. Harvey; C.C. Glüer; N. Binkley; E.V. McCloskey; M.-L. Brandi,2015,GBR,390,59.0,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
14,10.1210/jc.2002-020275,Yield of laboratory testing to identify secondary contributors to osteoporosis in otherwise healthy women.,Cara Tannenbaum; Julie Clark; Kevin Schwartzman; Sylvan Wallenstein; Robert Lapinski,2002,usa,664,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
15,10.1097/BLO.0b013e3180534269,Prior fractures are common in patients with subsequent hip fractures.,Beatrice J Edwards; Andrew D Bunta; Christine Simonelli; Mark Bolander; Lorraine A Fitzpatrick,2007,USA,632,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
16,10.1007/s00198-004-1709-z,Accuracy of height loss during prospective monitoring for detection of incident vertebral fractures.,K. Siminoski; G. Jiang; J. D. Adachi; D. A. Hanley; G. Cline,2005,usa,985,,,,,,,,0,0,0,0,Cohort,50.0,PubMed Abstract
17,10.1359/jbmr.1999.14.9.1614,Markers of bone turnover predict postmenopausal forearm bone loss over 4 years: the OFELY study.,Patrick Garnero; Elisabeth Sornay-Rendu; François Duboeuf; Pierre D. Delmas,1999,usa,305,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
18,10.1359/jbmr.2003.18.6.1051,Relationship of early changes in bone resorption to the reduction in fracture risk with risedronate.,R Eastell; I Barton; Ra Hannon; A Chines; P Garnero,2003,GBR,693,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
19,10.1359/JBMR.040512,"Change in bone turnover and hip, non-spine, and vertebral fracture in alendronate-treated women: the fracture intervention trial.",Douglas C Bauer; Dennis M Black; Patrick Garnero; Marc Hochberg; Susan Ott,2004,usa,6186,,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
20,10.1002/jbmr.251,Effects of denosumab on bone turnover markers in postmenopausal osteoporosis.,Richard Eastell; Claus Christiansen; Andreas Grauer; Stepan Kutilek; Cesar Libanati,2011,usa,160,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
21,10.1210/jcem.87.4.8415,Changes in bone density and turnover explain the reductions in incidence of nonvertebral fractures that occur during treatment with antiresorptive agents.,Marc C. Hochberg; Susan Greenspan; Richard D. Wasnich; Paul Miller; Desmond E. Thompson,2002,usa,2415,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
22,10.1001/jamainternmed.2014.1232,Fracture Prediction After Discontinuation of 4 to 5 Years of Alendronate Therapy,Douglas C. Bauer; Ann Schwartz; Lisa Palermo; Jane Cauley; Marc Hochberg,2014,FRA,6459,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
23,10.1056/NEJMoa1500409,A Trial of Calcium and Vitamin D for the Prevention of Colorectal Adenomas,John A. Baron; Elizabeth L. Barry; Leila A. Mott; Judy R. Rees; Robert S. Sandler,2015,United States,60,85.5,14.5,88.8,46.0,95.4,12.0,,4,1,1,0,RCT / Clinical Trial,100.0,PMC Full-text
24,10.4158/EP13518.OR,The vitamin d dose response in obesity.,Ruban Dhaliwal; Mageda Mikhail; Martin Feuerman; John F. Aloia,2014,ITA,25,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
25,10.4158/EP14416.OR,EFFECTIVENESS AND OUTCOMES OF CURRENT PRACTICE IN TREATING VITAMIN D DEFICIENCY IN PATIENTS LISTED FOR LIVER TRANSPLANTATION.,Amanda Chaney; Michael G. Heckman; Nancy N. Diehl; Shon Meek; Andrew P. Keaveny,2015,Unknown,127,,,,,,,,0,0,0,0,Other,40.0,PubMed Abstract
