Study#,DOI,Title,Author,Year,Country,Sample_Size,Male_%,Female_%,White_%,Black_%,Hispanic_%,Asian_%,Other_%,Race_Cats,Has_Sex,Has_Any_Race,Has_All_5_Race,Design,Quality_Score,Data_Source
1,10.1056/NEJMsa2032271,"Trends in Diabetes Treatment and Control in U.S. Adults, 1999–2018",Michael Fang; Dan Wang; Josef Coresh; Elizabeth Selvin,2021,"United States, U.S.",5,0.65,1.0,1.0,1.74,,2.18,,3,1,1,0,Other,100.0,PMC Full-text
2,10.1007/s11606-007-0313-2,Beyond Comorbidity Counts: How Do Comorbidity Type and Severity Influence Diabetes Patients’ Treatment Priorities and Self-Management?,Eve A. Kerr; Michele Heisler; Sarah L. Krein; Mohammed Kabeto; Kenneth M. Langa,2007,USA,1901,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
3,10.1007/s11606-010-1507-6,"Language Barriers, Physician-Patient Language Concordance, and Glycemic Control Among Insured Latinos with Diabetes: The Diabetes Study of Northern California (DISTANCE)",Alicia Fernandez; Dean Schillinger; E. Margaret Warton; Nancy Adler; Howard H. Moffet,2011,USA,7248,94.0,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
4,10.2337/dc21-0507,Trends in Glycemic Control Among Youth and Young Adults With Diabetes: The SEARCH for Diabetes in Youth Study.,Faisal S. Malik; Katherine A. Sauder; Scott Isom; Beth A. Reboussin; Dana Dabelea,2022,COL,6369,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
5,10.2337/dc22-0494,Measurement and Validation of the Comprehensive Score for Financial Toxicity (COST) in a Population With Diabetes.,Minal R. Patel; Guanghao Zhang; Michele Heisler; Peter X.K. Song; John D. Piette,2022,USA,600,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
6,10.1186/s12875-023-01968-z,Primary care team and its association with quality of care for people with multimorbidity: a systematic review,Mingyue Li; Haoqing Tang; Xiaoyun Liu,2023,CHN,2076,,,,,,,,0,0,0,0,Review / Meta-analysis,50.0,PubMed Abstract
7,10.1001/jamahealthforum.2022.0005,Association of Primary Care Engagement in Value-Based Reform Programs With Health Services Outcomes,Julia Adler-Milstein; Ariel Linden; John M. Hollingsworth; Andrew M. Ryan,2022,FRA,54,43.9,57.1,4.0,10.0,5.3,,,3,1,1,0,Other,100.0,PMC Full-text
8,10.1016/j.amepre.2021.10.023,Effects of a Digital Diabetes Prevention Program: An RCT.,Jeffrey A. Katula; Emily V. Dressler; Carol A. Kittel; Lea N. Harvin; Fabio A. Almeida,2022,NOR,599,61.4,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
9,10.1001/jamanetworkopen.2023.46305,Patterns of Telemedicine Use and Glycemic Outcomes of Endocrinology Care for Patients With Type 2 Diabetes,Margaret F. Zupa; Varsha G. Vimalananda; Scott D. Rothenberger; Jonathan Y. Lin; Jason M. Ng,2023,usa,1547,42.0,58.0,88.0,77.0,66.0,81.0,,4,1,1,0,Other,100.0,PMC Full-text
10,10.5888/pcd15.170168,Telemedicine in the Management of Type 1 Diabetes,Timothy Xu; Shreya Pujara; Sarah Sutton; Mary Rhee,2018,CHE,2016,,9.4,84.4,15.6,,,,2,0,1,0,Other,80.0,PMC Full-text
11,10.1007/s11606-021-07281-8,Implementation of an Intensive Telehealth Intervention for Rural Patients with Clinic-Refractory Diabetes,Elizabeth A. Kobe; Allison A. Lewinski; Amy S. Jeffreys; Valerie A. Smith; Cynthia J. Coffman,2022,USA,230,95.0,,80.0,,14.0,,,2,0,1,0,Other,80.0,PMC Full-text
12,10.1016/S2589-7500(22)00233-3,"Effectiveness, reach, uptake, and feasibility of digital health interventions for adults with type 2 diabetes: a systematic review and meta-analysis of randomised controlled trials.",George Moschonis; George Siopis; Jenny Jung; Evette Eweka; Ruben Willems,2023,AUS,4546,,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
13,10.2196/51538,Telemedicine in Improving Glycemic Control Among Children and Adolescents With Type 1 Diabetes Mellitus: Systematic Review and Meta-Analysis,Kun Zhang; Qiyuan Huang; Qiaosong Wang; Chengyang Li; Qirong Zheng,2024,CHN,1704,,,,,,,,0,0,0,0,Review / Meta-analysis,50.0,PubMed Abstract
14,10.2196/42134,Implementation Science Perspectives on Implementing Telemedicine Interventions for Hypertension or Diabetes Management: Scoping Review,Ayisha Khalid; Quanfang Dong; Enkhzaya Chuluunbaatar; Victoria Haldane; Hammad Durrani,2023,CAN,423,,,,,,,40.0,1,0,1,0,Review / Meta-analysis,80.0,PMC Full-text
15,10.2337/cd22-0072,Making Diabetes Electronic Medical Record Data Actionable: Promoting Benchmarking and Population Health Improvement Using the T1D Exchange Quality Improvement Portal,Ann Mungmode; Nudrat Noor; Ruth S. Weinstock; Roberto Izquierdo; Justin A. Indyk,2023,ITA,45000,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
16,10.1111/dom.14455,Strategies for overcoming therapeutic inertia in type 2 diabetes: A systematic review and meta-analysis.,Rhea E. Powell; Francesco Zaccardi; Christine Beebe; Xin Mei Chen; Alyssa Crawford,2021,USA,243,,,,,,,,0,0,0,0,Review / Meta-analysis,50.0,PubMed Abstract
17,10.1007/s00592-023-02133-9,The effect of personalized intelligent digital systems for self-care training on type II diabetes: a systematic review and meta-analysis of clinical trials.,Mozhgan Tanhapour; Maryam Peimani; Sharareh Rostam Niakan Kalhori; Ensieh Nasli Esfahani; Hadi Shakibian,2023,DEU,3071,,,,,,,,0,0,0,0,RCT / Clinical Trial,50.0,PubMed Abstract
18,10.1001/jamanetworkopen.2020.35792,"Comparison of Diabetes Medications Used by Adults With Commercial Insurance vs Medicare Advantage, 2016 to 2019",Rozalina G. McCoy; Holly K. Van Houten; Yihong Deng; Pinar Karaca Mandic; Joseph S. Ross,2021,CHE,382,58.3,41.7,85.0,37.0,25.0,3.6,,4,1,1,0,Other,100.0,PMC Full-text
