Study#,DOI,Title,Author,Year,Country,Sample_Size,Male_%,Female_%,White_%,Black_%,Hispanic_%,Asian_%,Other_%,Race_Cats,Has_Sex,Has_Any_Race,Has_All_5_Race,Design,Quality_Score,Data_Source
1,10.1111/j.1365-2362.2009.02162.x,Very high prevalence of thyroid nodules detected by high frequency (13 MHz) ultrasound examination.,S. Guth; U. Theune; J. Aberle; A. Galach; C. M. Bamberger,2009,DEU,635,33.0,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
2,10.1530/eje.0.1500133,Advances in diagnostic practices affect thyroid cancer incidence in France.,L Leenhardt; MO Bernier; MH Boin-Pineau; B Conte Devolx; R Marechaud,2004,FRA,471,82.0,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
3,10.7326/0003-4819-133-9-200011070-00011,Usefulness of ultrasonography in the management of nodular thyroid disease.,Ellen Marqusee; Carol B. Benson; Mary C. Frates; Peter M. Doubilet; P. Reed Larsen,2000,USA,223,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
4,10.1089/thy.1998.8.989,Role of ultrasound-guided fine-needle aspiration biopsy in evaluation of nonpalpable thyroid nodules.,PHILIPPE HAGAG; SIMON STRAUSS; MORDECHAI WEISS,1998,ISR,151,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
5,10.1677/ERC-08-0080,Familial non-medullary thyroid carcinoma displays the features of clinical anticipation suggestive of a distinct biological entity.,M Capezzone; S Marchisotta; S Cantara; G Busonero; L Brilli,2008,ITA,235,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
6,10.1089/thy.2010.0256,"Prevalence, clinicopathologic features, and somatic genetic mutation profile in familial versus sporadic nonmedullary thyroid cancer.",Willieford Moses; Julie Weng; Electron Kebebew,2011,USA,402,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
7,10.1089/thy.2011.0192,"In patients with thyroid cancer of follicular cell origin, a family history of nonmedullary thyroid cancer in one first-degree relative is associated with more aggressive disease.",Haggi Mazeh; Joy Benavidez; Jennifer L. Poehls; Linda Youngwirth; Herbert Chen,2012,USA,358,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
8,10.1089/thy.2011.0163,The long-term outcomes of the second generation of familial nonmedullary thyroid carcinoma are more aggressive than sporadic cases.,Young Joo Park; Hwa Young Ahn; Hoon Sung Choi; Kyung Won Kim; Do Joon Park,2012,KOR,3056,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
9,10.1056/NEJM199703273361301,Solid cancers after bone marrow transplantation.,Rochelle E. Curtis; Philip A. Rowlings; H. Joachim Deeg; Donna A. Shriner; Gérard Socié,1997,USA,19229,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
10,10.1210/jc.2007-2215,Higher serum thyroid stimulating hormone level in thyroid nodule patients is associated with greater risks of differentiated thyroid cancer and advanced tumor stage.,Megan Rist Haymart; Daniel John Repplinger; Glen E. Leverson; Diane F. Elson; Rebecca S. Sippel,2008,USA,843,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
11,10.1016/j.jss.2007.09.020,Is Hashimoto's Thyroiditis a Risk Factor for Papillary Thyroid Cancer?,Daniel Repplinger; Anna Bargren; Yi-Wei Zhang; Joel T. Adler; Megan Haymart,2008,USA,217,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
12,10.1210/jc.2003-030550,"Impact of routine measurement of serum calcitonin on the diagnosis and outcome of medullary thyroid cancer: experience in 10,864 patients with nodular thyroid disorders.",Rossella Elisei; Valeria Bottici; Fabiana Luchetti; Giancarlo Di Coscio; Cristina Romei,2004,ITA,10864,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
13,10.3346/jkms.2012.27.9.1014,Preoperative Serum Thyroglobulin as a Useful Predictive Marker to Differentiate Follicular Thyroid Cancer from Benign Nodules in Indeterminate Nodules,Eun Kyung Lee; Ki-Wook Chung; Hye Sook Min; Tae Sung Kim; Tae Hyun Kim,2012,CAN,164,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
14,10.1089/10507250150500694,Routine measurement of serum calcitonin is useful for early detection of medullary thyroid carcinoma in patients with nodular thyroid diseases.,Jong Ryeal Hahm; Myung-Shik Lee; Yong-Ki Min; Moon-Kyu Lee; Kwang-Won Kim,2001,KOR,1448,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
15,10.1210/jcem.82.2.3737,Interest of routine measurement of serum calcitonin: study in a large series of thyroidectomized patients. The French Medullary Study Group.,Patricia Niccoli; Nelly Wion-Barbot; Philippe Caron; Jean-Francois Henry; Catherine de Micco,1997,FRA,1167,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
16,10.1210/jc.2006-1590,Predictive value of serum calcitonin levels for preoperative diagnosis of medullary thyroid carcinoma in a cohort of 5817 consecutive patients with thyroid nodules.,Giuseppe Costante; Domenico Meringolo; Cosimo Durante; Davide Bianchi; Maria Nocera,2007,ITA,10,,,,,,,,0,0,0,0,Cohort,50.0,PubMed Abstract
17,10.1210/jc.2010-0162,The use of preoperative routine measurement of basal serum thyrocalcitonin in candidates for thyroidectomy due to nodular thyroid disorders: results from 2733 consecutive patients.,Guillaume Chambon; Caroline Alovisetti; Catherine Idoux-Louche; Christophe Reynaud; Michel Rodier,2011,FRA,2690,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
18,10.4158/EP12420.OR,The diagnostic value of calcitonin measurement in wash-out fluid from fine-needle aspiration of thyroid nodules in the diagnosis of medullary thyroid cancer.,Chiara Diazzi; Bruno Madeo; Erica Taliani; Lucia Zirilli; Stefania Romano,2013,ITA,27,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
19,10.1089/thy.2012.0005,"Risk of Malignancy in Thyroid Incidentalomas Detected by
                    <sup>18</sup>
                    F-Fluorodeoxyglucose Positron Emission Tomography: A Systematic Review",Kerstin Kathrine Soelberg; Steen Joop Bonnema; Thomas Heiberg Brix; Laszlo Hegedüs,2012,ITA,125754,,,,,,,,0,0,0,0,Review / Meta-analysis,50.0,PubMed Abstract
20,10.1097/MNM.0b013e328324b431,Evaluation of thyroid FDG uptake incidentally identified on FDG-PET/CT imaging.,Wengen Chen; Molly Parsons; Drew A. Torigian; Hongming Zhuang; Abass Alavi,2009,usa,53,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
21,10.1002/1097-0142(19890215)63:4<718::AID-CNCR2820630420>3.0.CO;2-N,Sources of diagnostic error in fine needle aspiration of the thyroid.,Thomas L. Hall; Lester J. Layfield; Anne Philippe; Dorothy L. Rosenthal,1989,Unknown,795,,,,,,,,0,0,0,0,Other,40.0,PubMed Abstract
22,10.1503/cjs.023209,"Incidental thyroid """"PETomas"""": clinical significance and novel description of the self-resolving variant of focal FDG-PET thyroid uptake.",Hidefumi Nishimori; Roger Tabah; Marc Hickeson; Jacques How,2011,CAN,4726,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
23,10.1210/jc.2002-020865,Assessment of nondiagnostic ultrasound-guided fine needle aspirations of thyroid nodules.,Erik K. Alexander; Jenny P. Heering; Carol B. Benson; Mary C. Frates; Peter M. Doubilet,2002,USA,1128,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
24,10.1001/jamainternmed.2013.9245,Risk of Thyroid Cancer Based on Thyroid Ultrasound Imaging Characteristics: Results of a Population-Based Study,Rebecca Smith-Bindman; Paulette Lebda; Vickie A. Feldstein; Dorra Sellami; Ruth B. Goldstein,2013,FRA,9341,19.6,80.4,,,,,,0,1,0,0,Other,70.0,PubMed Abstract
25,10.4158/EP10382.OR,Correlation of findings from iodine 123 scan and ultrasonography in the recommendation for thyroid fine-needle aspiration biopsy.,Jill E. Langer; Rajan Agarwal; Hongming Zhuang; Steve Shih-Lin Huang; Susan J. Mandel,2011,USA,97,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
26,10.1089/thy.1998.8.15,Diagnostic accuracy of conventional versus sonography-guided fine-needle aspiration biopsy of thyroid nodules.,DANIELE DANESE; SALVATORE SCIACCHITANO; ANTONELLA FARSETTI; MARIO ANDREOLI; ALFREDO PONTECORVI,1998,ITA,9683,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
27,10.1148/radiol.2473070944,Benign and malignant thyroid nodules: US differentiation--multicenter retrospective study.,Won-Jin Moon; So Lyung Jung; Jeong Hyun Lee; Dong Gyu Na; Jung-Hwan Baek,2008,GBR,831,,,,,,,,0,0,0,0,Cohort,50.0,PubMed Abstract
28,10.1148/radiol.09091284,Can Vascularity at Power Doppler US Help Predict Thyroid Malignancy?,Hee Jung Moon; Jin Young Kwak; Min Jung Kim; Eun Ju Son; Eun-Kyung Kim,2010,KOR,886,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
29,10.1007/s00268-008-9600-2,Predictive value of sonographic features in preoperative evaluation of malignant thyroid nodules in a multinodular goiter.,Artür Salmaslıoğlu; Yeşim Erbil; Cem Dural; Halim İşsever; Yersu Kapran,2008,TUR,550,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
30,10.1210/jc.2006-0690,Prevalence and distribution of carcinoma in patients with solitary and multiple thyroid nodules on sonography.,Mary C. Frates; Carol B. Benson; Peter M. Doubilet; Elizabeth Kunreuther; Maricela Contreras,2006,USA,1985,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
31,10.7863/jum.2009.28.12.1685,Sonographic features of follicular variant papillary thyroid carcinomas in comparison with conventional papillary thyroid carcinomas.,Dae Sik Kim; Ji-hoon Kim; Dong Gyu Na; Sung-Hye Park; Eunhee Kim,2009,KOR,59,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
32,10.3349/ymj.2014.55.2.339,Thyroid Nodules with Macrocalcification: Sonographic Findings Predictive of Malignancy,Yun Joo Park; Jeong-Ah Kim; Eun Ju Son; Ji Hyun Youk; Eun-Kyung Kim,2014,ITA,845,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
33,10.1093/qjmed/hcl121,The predictive value of ultrasound findings in the management of thyroid nodules.,C. Cappelli; M. Castellano; I. Pirola; D. Cumetti; B. Agosti,2006,ITA,20045198,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
34,10.3348/kjr.2007.8.3.192,Evaluating the Degree of Conformity of Papillary Carcinoma and Follicular Carcinoma to the Reported Ultrasonographic Findings of Malignant Thyroid Tumor,Su-kyoung Jeh; So Lyung Jung; Bum Soo Kim; Yoen Soo Lee,2007,KOR,1036,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
35,10.1002/cncr.21055,The prognostic value of primary tumor size in papillary and follicular thyroid carcinoma.,Andreas Machens; Hans‐Jürgen Holzhausen; Henning Dralle,2005,DEU,366,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
36,10.1046/j.1365-2265.2003.01912.x,Ultrasonography-guided fine-needle aspiration of thyroid incidentaloma: correlation with pathological findings.,Il Seong Nam‐Goong; Ha Young Kim; Gyungyub Gong; Ho Kyu Lee; Suck Joon Hong,2004,KOR,267,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
37,10.2214/AJR.08.1820,Pattern Recognition of Benign Nodules at Ultrasound of the Thyroid: Which Nodules Can Be Left Alone?,John A. Bonavita; Jason Mayo; James Babb; Genevieve Bennett; Thaira Oweity,2009,USA,650,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
38,10.1530/EJE-12-0936,Prospective evaluation of thyroid imaging reporting and data system on 4550 nodules with and without elastography.,Gilles Russ; Bénédicte Royer; Claude Bigorgne; Agnès Rouxel; Marie Bienvenu-Perrard,2013,FRA,3543,,,,,,,,0,0,0,0,Cohort,50.0,PubMed Abstract
39,10.1089/thy.2007.0014,"Ultrasonographic evaluation of thyroid nodules in 900 patients: comparison among ultrasonographic, cytological, and histological findings.",Yasuhiro Ito; Nobuyuki Amino; Tamotsu Yokozawa; Hisashi Ota; Maki Ohshita,2007,ITA,210,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
40,10.1089/thy.2013.0367,Patient age is significantly related to the progression of papillary microcarcinoma of the thyroid under observation.,Yasuhiro Ito; Akira Miyauchi; Minoru Kihara; Takuya Higashiyama; Kaoru Kobayashi,2014,ITA,20111235,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
41,10.1210/jc.2007-0641,Elastography: new developments in ultrasound for predicting malignancy in thyroid nodules.,T. Rago; F. Santini; M. Scutari; A. Pinchera; P. Vitti,2007,ITA,92,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
42,10.1089/thy.2009.0155,The Bethesda thyroid fine-needle aspiration classification system: year 1 at an academic institution.,Constantine G.A. Theoharis; Kevin M. Schofield; Lynwood Hammers; Robert Udelsman; David C. Chhieng,2009,USA,2468,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
