Study#,DOI,Title,Author,Year,Country,Sample_Size,Male_%,Female_%,White_%,Black_%,Hispanic_%,Asian_%,Other_%,Race_Cats,Has_Sex,Has_Any_Race,Has_All_5_Race,Design,Quality_Score,Data_Source
1,10.1001/jama.2014.732,"Prevalence of Childhood and Adult Obesity in the United States, 2011-2012",Cynthia L. Ogden,2012,USA,9120,50.21,49.79,30.43,27.59,25.03,12.93,4.02,5,1,1,1,Observational,100.0,PMC Full-text
2,10.3945/ajcn.114.088831,Scaling of adult body weight to height across sex and race/ethnic groups: relevance to BMI,Steven B Heymsfield,2010,"USA, KOR",26068,48.14,51.86,33.15,15.65,16.9,34.3,0.0,4,1,1,0,Observational,100.0,PMC Full-text
3,10.3410/f.1085758.541834,Faculty Opinions recommendation of A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity.,Timothy M. Frayling,2007,"GBR, FIN, ITA",38759,50.0,50.0,100.0,0.0,0.0,0.0,0.0,1,1,1,0,Genome-wide association study,100.0,PMC Full-text
4,10.1016/j.jhealeco.2011.10.003,The medical care costs of obesity: An instrumental variables approach,John Cawley,2012,USA,23689,41.6,58.4,68.5,11.9,14.6,0.0,5.6,4,1,1,0,Instrument Variables Analysis of MEPS Data,100.0,PMC Full-text
5,10.1001/jama.2012.40,"Prevalence of Obesity and Trends in Body Mass Index Among US Children and Adolescents, 1999-2010",Cynthica L. Ogden,2012,USA,4111,52.1,47.9,33.5,19.3,40.4,0.0,6.8,4,1,1,0,Cross-sectional analysis (NHANES),100.0,PMC Full-text
6,10.1096/fasebj.22.1_supplement.1084.7,Micronutrient quality of weight loss diets that focus on macronutrients: results from the A TO Z study,Christoper D. Gardner,2010,USA,291,0.0,100.0,71.0,6.0,11.0,10.0,2.0,5,0,1,1,Randomized Clinical Trial,80.0,PMC Full-text
7,10.1164/rccm.200304-493oc,Whole Genome Scan for Obstructive Sleep Apnea and Obesity in African-American Families,Lyle J. Palmer,2004,"AUS, USA",277,43.3,56.7,0.0,100.0,0.0,0.0,0.0,1,1,1,0,Genome-wide linkage scan,100.0,PMC Full-text
8,10.1001/jama.2012.39,"Prevalence of Obesity and Trends in the Distribution of Body Mass Index Among US Adults, 1999-2010",Katherine M. Flegal,2012,USA,5926,48.7,51.3,68.8,11.4,13.6,0.0,6.2,4,1,1,0,Cross-sectional survey,100.0,PMC Full-text
9,10.1001/jamapediatrics.2014.21,"Prevalence and Trends in Obesity and Severe Obesity Among Children in the United States, 1999-2012",Asheley Cockrell Skinner,2012,USA,26690,51.2,48.8,58.2,14.6,19.9,0.1,7.2,5,1,1,1,cross sectional survey,100.0,PMC Full-text
10,10.1002/oby.21140,"Challenging obesity: Patient, provider, and expert perspectives on the roles of available and emerging nonsurgical therapies",Amy Groves,2015,USA,1460000,42.0,58.0,100.0,0.0,0.0,0.0,0.0,1,1,1,0,Clinical trials and investigations,100.0,PMC Full-text
