title,link,author,country,year,journal,sample_size,age,male_pct,female_pct,white_pct,black_pct,hispanic_pct,asian_pct,other_pct,design
"Prevalence of Childhood and Adult Obesity in the United States, 2011-2012",https://doi.org/10.1001/jama.2014.732,Cynthia L. Ogden,USA,2012.0,JAMA Network,9120.0,NR,50.21,49.79,30.43,27.59,25.03,12.93,4.02,Observational
Scaling of adult body weight to height across sex and race/ethnic groups: relevance to BMI,https://doi.org/10.3945/ajcn.114.088831,Steven B Heymsfield,"USA, KOR",2010.0,The American Journal of Clinical Nutrition,26068.0,43.12,48.14,51.86,33.15,15.65,16.9,34.3,0.0,Observational
Faculty Opinions recommendation of A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity.,https://doi.org/10.3410/f.1085758.541834,Timothy M. Frayling,"GBR, FIN, ITA",2007.0,Science,38759.0,"7-14 year olds (children), 28 - 74 years (adults",~50% (Cohort range: 0-100%),~50% (Cohort range: 0-100%),1.0,Excluded,Excluded,Excluded,Excluded,Genome-wide association study
The medical care costs of obesity: An instrumental variables approach,https://doi.org/10.1016/j.jhealeco.2011.10.003,John Cawley,USA,2012.0,Journal of Health Economics,23689.0,20-64 year olds,41.6% (9852),58.4% (13837),68.5% (Weighted Mean),11.9% (Weighted Mean),14.6% (Weighted Mean),NR (other race),5.6% (other race),Instrument Variables Analysis of MEPS Data
"Prevalence of Obesity and Trends in Body Mass Index Among US Children and Adolescents, 1999-2010",https://doi.org/10.1001/jama.2012.40,Cynthica L. Ogden,USA,2012.0,JAMA,4111.0,Birth through 19 years old,52.1% (Unweighted 2071/3972 in 1999-2000 cohorts),"47.9% (Unweighted 1,901/3,972 in 1999-2000 cohorts)",0.335,0.193,0.404,NR,0.068,Cross-sectional analysis (NHANES)
Micronutrient quality of weight loss diets that focus on macronutrients: results from the A TO Z study,https://doi.org/10.1096/fasebj.22.1_supplement.1084.7,Christoper D. Gardner,USA,2010.0,American Journal of Clinical Nutrition,291.0,Mean: 41 ± 6 yars,0.0,1.0,0.71,0.06,0.11,0.1,0.02,Randomized Clinical Trial
Whole Genome Scan for Obstructive Sleep Apnea and Obesity in African-American Families,https://doi.org/10.1164/rccm.200304-493oc,Lyle J. Palmer,"AUS, USA",2004.0,American Journal of Respiratory and Critical Care Medicine,277.0,Mean age: 48.0 ± 11.8,0.433,0.567,0.0,1.0,0.0,0.0,0.0,Genome-wide linkage scan
"Prevalence of Obesity and Trends in the Distribution of Body Mass Index Among US Adults, 1999-2010",https://doi.org/10.1001/jama.2012.39,Katherine M. Flegal,USA,2012.0,JAMA,5926 (2009-2010 cycle),Median: 27.8 (IQR 24.7 - 31.7) (M); 27.3 (IQR 23.3 - 32.7) (F),0.487,0.513,0.688,0.114,0.136,NR,0.062,Cross-sectional survey
"Prevalence and Trends in Obesity and Severe Obesity Among Children in the United States, 1999-2012",https://doi.org/10.1001/jamapediatrics.2014.21,Asheley Cockrell Skinner,USA,2012.0,JAMA Pediatr,26690.0,2026-02-19 00:00:00,0.512,0.488,0.582,0.146,0.199,0.001,0.072,cross sectional survey
"Challenging obesity: Patient, provider, and expert perspectives on the roles of available and emerging nonsurgical therapies",https://doi.org/10.1002/oby.21140,Amy Groves,USA,2015.0,IMNE,1.46 million,58.0,0.42,0.58,1.0,0.0,0.0,0.0,0.0,Clinical trials and investigations
